AverageEnergy,RunNum,totalEntries
88878.59839492706,16413.0,4080
88709.98244532247,16437.0,6960
88374.44086524828,16442.0,4128
88463.93528544449,16470.0,4080
88573.29238793366,16430.0,4032
88570.83201701482,16456.0,4128
87988.84603366005,16512.0,4080
88346.40253353766,16427.0,4128
88911.20203234974,16414.0,4080
88606.5053021813,16485.0,4080
89291.40936173574,16474.0,4128
88273.8917219619,16459.0,4080
88111.36565555498,16417.0,4080
88778.8661972151,16432.0,4128
88570.6382930873,16513.0,4080
88717.72121526205,16455.0,4224
88437.96788319887,16427.0,4128
88666.82065393472,16477.0,4128
88950.04170399146,16475.0,4080
88810.75006669495,16413.0,4080
88552.02961367268,16484.0,4128
88373.23857423024,16466.0,4128
88583.87581136319,16484.0,4128
88329.90675079451,16422.0,4080
88219.6272777383,16444.0,4128
88652.48047750363,16490.0,4080
88612.07680308525,16487.0,4080
88834.05909687412,16431.0,4128
88455.76179776173,16416.0,4080
88134.83725331393,16483.0,6384
88655.7454474329,16485.0,4128
88395.24462472601,16426.0,4080
88570.1476948877,16477.0,4128
88447.22967606479,16479.0,4080
88553.49860015261,16480.0,4080
88323.21026767699,16445.0,4128
88262.9144104985,16458.0,4128
88513.29838902592,16479.0,4080
88718.36090393634,16471.0,4080
88387.98303126775,16443.0,4176
88260.74400384676,16466.0,4032
88591.9722912621,16482.0,5136
88601.23845258752,16466.0,4080
88637.07637079683,16471.0,4224
88920.60339737876,16473.0,4080
88235.05504917458,16442.0,4272
88639.82158266922,16484.0,4128
88271.95062128475,16482.0,4128
89666.88762314952,16476.0,4128
89796.91145854411,16474.0,4080
88542.67801576386,16455.0,4176
88262.88626112128,16467.0,4080
88630.35087777089,16476.0,4080
88741.50038249638,16478.0,4128
88146.80981086292,16425.0,4080
88325.50181042183,16465.0,4032
87826.18571840665,16442.0,4176
88576.09443296054,16503.0,5136
88275.809557357,16461.0,8112
88378.7040433066,16469.0,4032
88576.90208118246,16477.0,4080
88201.86180236735,16445.0,4128
89758.78254391783,16474.0,4080
88483.07741404687,16417.0,4080
88179.63858027759,16419.0,4080
88255.43996697434,16510.0,4080
88468.93687919264,16469.0,5328
88520.40237541322,16512.0,4080
88467.90697867116,16442.0,4128
88804.94266821719,16489.0,4080
88482.50315859827,16428.0,5712
88590.24945036037,16490.0,4128
88816.38967309463,16430.0,4080
88507.28408894727,16467.0,4128
89001.09085395109,16454.0,4128
88549.99921968824,16430.0,4032
88259.8269294575,16461.0,4080
89119.54914872699,16494.0,4080
88706.83092354034,16478.0,8208
88471.27343752938,16485.0,4080
88490.20623295297,16470.0,4080
88556.53933860031,16478.0,4128
88372.8670224241,16485.0,4080
88634.0377595211,16473.0,4080
88495.54354282455,16469.0,4032
88457.3438893848,16444.0,4128
88677.40862275161,16455.0,4224
88121.7029741118,16483.0,6336
88295.42942062522,16422.0,4080
88731.67794657312,16413.0,8208
88569.2549003751,16468.0,4080
88659.1326586003,16485.0,4080
89100.16979095459,16433.0,4128
87971.65584766936,16442.0,8304
